id,name,description
kckippdgbocigoonhffgbbkhggggofhe,Atlist: add to Atlist,Use the Atlist extension to add items to your Atlist direct from any online store with just one click.
kphhbalcjpamoncjlnnhlajngdfmpafl,Fast Scroll To Top,Scrolls instantly to top.
bfbinlncachhphfkjffkfaobeikfbkml,GCF,GCfixer.com
lbmaeohhahndimifpeclieemaimenlfh,NewTabLinker,A custom chrome new tab extensions allowing you to add custom quick search boxes.
foelfhliehmcbapljnjihbkkpnhmmjea,cashyo.co.il - אתר הקופונים של ישראל,"מוצא אוטומטית קופונים, דילים, מבצעים והנחות באתרים מהארץ ומחו""ל"
ncjinfbppnplcanihaghgeamanhbjecl,Elf Bakery,Help the fairies catch the crazy Christmas cookies so they can deliver them on Christmas Eve. Look out for Jack Frost.
ademcdacngafppceeajjbhagmmaphgdi,2ch-caster,"2ch-caster will notify you about new threads on 2ch.hk via pop-up notifications.
Miss no thread, anonymous!"
dfgdlmphoajpddjpipnpopkffdmhblbm,Mc Vs KFC,"Version 2.0 updated 13/09/2018:Toolbar and background image alignment adjusted.
1)Hd wallpaper used
2)Toolbar and background image…"
lcgagkpmdaodcdmekgjajbligkcangik,Ubuntu Ambience theme,A simple theme for Ubuntu Ambience gtk theme
coadlpoccolkhlkjnaabimbplllnhnji,MyPicture for HBOMax: custom profile picture,Extension to make a custom HBO Max profile picture. Personalize your user account and choose your own profile icon.
hndjlfnbhcmmdjhpblfgkdfpcgdjooni,osmo.mobi - panTo control,Add a button to osmo.mobi to enable/disable auto map recenter
iomcfpdngiolnefjdehdaoanlilbjiml,music-get-autoqueue,Clicking the button queues whatever's at the current tab's URL to the music server.
dgkdbbnhdfgmmjdhbelblkbclfhjihhf,Cross-site interactive wishlist,All your wishlist items in one place
fdoocmkefjhbelnjakbgkfbipffnklbe,ZW简历通,ZW简历通
miokbilobneomaeeddoiobefdobdnkei,Emoji Sliding Down Game,You must go from cloud to cloud with emoji and do not fall into the void.
fhoijjaefbiiigmifbmhocffbhlmlipb,Noy'On Air,Partageons de bonnes Ondes
